ind,group,continent,country,state,year,Pop,admix
Pd_14,group1,N_America,Canada,New Brunswick,2012,pop05,9.99500116449781e-05
Pd_14,group1,N_America,Canada,New Brunswick,2012,pop06,9.99500116449781e-05
Pd_14,group1,N_America,Canada,New Brunswick,2012,pop07,9.99500116449781e-05
Pd_15,group1,N_America,Canada,New Brunswick,2013,pop01,0.999400198459625
Pd_15,group1,N_America,Canada,New Brunswick,2013,pop02,9.99500116449781e-05
Pd_15,group1,N_America,Canada,New Brunswick,2013,pop03,9.99500116449781e-05
Pd_15,group1,N_America,Canada,New Brunswick,2013,pop04,9.99500116449781e-05
Pd_15,group1,N_America,Canada,New Brunswick,2013,pop05,9.99500116449781e-05
Pd_15,group1,N_America,Canada,New Brunswick,2013,pop06,9.99500116449781e-05
Pd_15,group1,N_America,Canada,New Brunswick,2013,pop07,9.99500116449781e-05
Pd_16,group1,N_America,Canada,New Brunswick,2012,pop01,0.999400198459625
Pd_16,group1,N_America,Canada,New Brunswick,2012,pop02,9.99500116449781e-05
Pd_16,group1,N_America,Canada,New Brunswick,2012,pop03,9.99500116449781e-05
Pd_16,group1,N_America,Canada,New Brunswick,2012,pop04,9.99500116449781e-05
Pd_16,group1,N_America,Canada,New Brunswick,2012,pop05,9.99500116449781e-05
Pd_16,group1,N_America,Canada,New Brunswick,2012,pop06,9.99500116449781e-05
Pd_16,group1,N_America,Canada,New Brunswick,2012,pop07,9.99500116449781e-05
Pd_17,group1,N_America,Canada,New Brunswick,2012,pop01,0.999400198459625
Pd_17,group1,N_America,Canada,New Brunswick,2012,pop02,9.99500116449781e-05
Pd_17,group1,N_America,Canada,New Brunswick,2012,pop03,9.99500116449781e-05
Pd_17,group1,N_America,Canada,New Brunswick,2012,pop04,9.99500116449781e-05
Pd_17,group1,N_America,Canada,New Brunswick,2012,pop05,9.99500116449781e-05
Pd_17,group1,N_America,Canada,New Brunswick,2012,pop06,9.99500116449781e-05
Pd_17,group1,N_America,Canada,New Brunswick,2012,pop07,9.99500116449781e-05
Pd_18,Europe,Europe,Germany,Thuringa,2009,pop01,0.0871798694133759
Pd_18,Europe,Europe,Germany,Thuringa,2009,pop02,9.92026252788492e-05
Pd_18,Europe,Europe,Germany,Thuringa,2009,pop03,0.912324070930481
Pd_18,Europe,Europe,Germany,Thuringa,2009,pop04,9.92026252788492e-05
Pd_18,Europe,Europe,Germany,Thuringa,2009,pop05,9.92026252788492e-05
Pd_18,Europe,Europe,Germany,Thuringa,2009,pop06,9.92026252788492e-05
Pd_18,Europe,Europe,Germany,Thuringa,2009,pop07,9.92026252788492e-05
Pd_19,group1,N_America,Canada,New Brunswick,2013,pop01,0.999400198459625
Pd_19,group1,N_America,Canada,New Brunswick,2013,pop02,9.99500116449781e-05
Pd_19,group1,N_America,Canada,New Brunswick,2013,pop03,9.99500116449781e-05
Pd_19,group1,N_America,Canada,New Brunswick,2013,pop04,9.99500116449781e-05
Pd_19,group1,N_America,Canada,New Brunswick,2013,pop05,9.99500116449781e-05
Pd_19,group1,N_America,Canada,New Brunswick,2013,pop06,9.99500116449781e-05
Pd_19,group1,N_America,Canada,New Brunswick,2013,pop07,9.99500116449781e-05
Pd_20,group1,N_America,Canada,New Brunswick,2013,pop01,0.999400198459625
Pd_20,group1,N_America,Canada,New Brunswick,2013,pop02,9.99500116449781e-05
Pd_20,group1,N_America,Canada,New Brunswick,2013,pop03,9.99500116449781e-05
Pd_20,group1,N_America,Canada,New Brunswick,2013,pop04,9.99500116449781e-05
Pd_20,group1,N_America,Canada,New Brunswick,2013,pop05,9.99500116449781e-05
Pd_20,group1,N_America,Canada,New Brunswick,2013,pop06,9.99500116449781e-05
Pd_20,group1,N_America,Canada,New Brunswick,2013,pop07,9.99500116449781e-05
Pd_21,group1,N_America,Canada,New Brunswick,2013,pop01,0.999400198459625
Pd_21,group1,N_America,Canada,New Brunswick,2013,pop02,9.99500116449781e-05
Pd_21,group1,N_America,Canada,New Brunswick,2013,pop03,9.99500116449781e-05
Pd_21,group1,N_America,Canada,New Brunswick,2013,pop04,9.99500116449781e-05
Pd_21,group1,N_America,Canada,New Brunswick,2013,pop05,9.99500116449781e-05
Pd_21,group1,N_America,Canada,New Brunswick,2013,pop06,9.99500116449781e-05
Pd_21,group1,N_America,Canada,New Brunswick,2013,pop07,9.99500116449781e-05
Pd_22,group1,N_America,Canada,New Brunswick,2013,pop01,0.999400198459625
Pd_22,group1,N_America,Canada,New Brunswick,2013,pop02,9.99500116449781e-05
Pd_22,group1,N_America,Canada,New Brunswick,2013,pop03,9.99500116449781e-05
