ind,continent,country,state,year,Pop,admix
Pd_23,N_America,USA,New York,2008,pop07,0.754875361919403
Pd_24,N_America,Canada,New Brunswick,2012,pop01,0.00388147379271686
Pd_24,N_America,Canada,New Brunswick,2012,pop02,9.95853843051009e-05
Pd_24,N_America,Canada,New Brunswick,2012,pop03,0.00188947201240808
Pd_24,N_America,Canada,New Brunswick,2012,pop04,0.0054034236818552
Pd_24,N_America,Canada,New Brunswick,2012,pop05,9.95853843051009e-05
Pd_24,N_America,Canada,New Brunswick,2012,pop06,0.107089810073376
Pd_24,N_America,Canada,New Brunswick,2012,pop07,0.881536722183228
Pd_26,N_America,Canada,New Brunswick,2012,pop01,0.00010001368355006
Pd_26,N_America,Canada,New Brunswick,2012,pop02,0.00010001368355006
Pd_26,N_America,Canada,New Brunswick,2012,pop03,0.00010001368355006
Pd_26,N_America,Canada,New Brunswick,2012,pop04,0.00444210506975651
Pd_26,N_America,Canada,New Brunswick,2012,pop05,0.995057821273804
Pd_26,N_America,Canada,New Brunswick,2012,pop06,0.00010001368355006
Pd_26,N_America,Canada,New Brunswick,2012,pop07,0.00010001368355006
Pd_27,N_America,Canada,Prince Edward Island,2012,pop01,9.98662944766693e-05
Pd_27,N_America,Canada,Prince Edward Island,2012,pop02,9.98662944766693e-05
Pd_27,N_America,Canada,Prince Edward Island,2012,pop03,9.98662944766693e-05
Pd_27,N_America,Canada,Prince Edward Island,2012,pop04,0.00010319735883968
Pd_27,N_America,Canada,Prince Edward Island,2012,pop05,0.942944169044495
Pd_27,N_America,Canada,Prince Edward Island,2012,pop06,0.0454784743487835
Pd_27,N_America,Canada,Prince Edward Island,2012,pop07,0.0111745400354266
Pd_28,N_America,USA,New York,2008,pop01,9.72779089352116e-05
Pd_28,N_America,USA,New York,2008,pop02,9.72779089352116e-05
Pd_28,N_America,USA,New York,2008,pop03,0.120363660156727
Pd_28,N_America,USA,New York,2008,pop04,0.0243386924266815
Pd_28,N_America,USA,New York,2008,pop05,0.545536279678345
Pd_28,N_America,USA,New York,2008,pop06,0.0820455029606819
Pd_28,N_America,USA,New York,2008,pop07,0.227521359920502
Pd_49,N_America,USA,Pennsylvania,2009,pop01,0.0319347344338894
Pd_49,N_America,USA,Pennsylvania,2009,pop02,0.298791021108627
Pd_49,N_America,USA,Pennsylvania,2009,pop03,0.653413593769073
Pd_49,N_America,USA,Pennsylvania,2009,pop04,0.0155603177845478
Pd_49,N_America,USA,Pennsylvania,2009,pop05,0.000103635531559121
Pd_49,N_America,USA,Pennsylvania,2009,pop06,9.82852652668953e-05
Pd_49,N_America,USA,Pennsylvania,2009,pop07,9.82852652668953e-05
Pd_50,N_America,USA,New Jersey,2009,pop01,0.132425382733345
Pd_50,N_America,USA,New Jersey,2009,pop02,0.232140883803368
Pd_50,N_America,USA,New Jersey,2009,pop03,0.618851780891418
Pd_50,N_America,USA,New Jersey,2009,pop04,0.0162873473018408
