ind,year,Pop,admix
Pd_68,2010,pop01,9.84790895017795e-05
Pd_68,2010,pop02,9.84787620836869e-05
Pd_68,2010,pop03,0.540554225
Pd_68,2010,pop04,0.023415405
Pd_68,2010,pop05,0.014473357
Pd_68,2010,pop06,0.421261549
Pd_68,2010,pop07,9.84787620836869e-05
Pd_72,2012,pop01,9.70867913565598e-05
Pd_72,2012,pop02,9.70867913565598e-05
Pd_72,2012,pop03,0.114365399
Pd_72,2012,pop04,0.0246653
Pd_72,2012,pop05,0.552767813
Pd_72,2012,pop06,0.118727334
Pd_72,2012,pop07,0.189279914
Pd_73,2012,pop01,9.94276415440254e-05
Pd_73,2012,pop02,9.94276415440254e-05
Pd_73,2012,pop03,9.94276415440254e-05
Pd_73,2012,pop04,9.94276415440254e-05
Pd_73,2012,pop05,0.3189345
Pd_73,2012,pop06,0.287199587
Pd_73,2012,pop07,0.393468231
Pd_74,2011,pop01,0.060094927
Pd_74,2011,pop02,0.712113261
Pd_74,2011,pop03,0.225322813
Pd_74,2011,pop04,0.002170407
Pd_74,2011,pop05,9.94797810562886e-05
Pd_74,2011,pop06,9.94797810562886e-05
Pd_74,2011,pop07,9.94797810562886e-05
Pd_75,2011,pop01,0.100106247
Pd_75,2011,pop02,0.899385154
Pd_75,2011,pop03,0.000100073
Pd_75,2011,pop04,0.000100073
Pd_75,2011,pop05,0.000100073
Pd_75,2011,pop06,0.000108203
Pd_75,2011,pop07,0.000100073
Pd_76,2011,pop01,9.85343285719864e-05
Pd_76,2011,pop02,9.85343285719864e-05
Pd_76,2011,pop03,0.733065248
Pd_76,2011,pop04,0.020362377
Pd_76,2011,pop05,0.021551384
Pd_76,2011,pop06,0.210585698
Pd_76,2011,pop07,0.014238298
Pd_77,2011,pop01,0.000100351
Pd_77,2011,pop02,0.968530059
Pd_77,2011,pop03,0.007738515
Pd_77,2011,pop04,0.002818815
Pd_77,2011,pop05,0.000100351
Pd_77,2011,pop06,0.000100351
Pd_77,2011,pop07,0.020611517
Pd_78,2012,pop01,9.94116635411046e-05
Pd_78,2012,pop02,9.94116635411046e-05
Pd_78,2012,pop03,0.339176834
Pd_78,2012,pop04,0.014028193
Pd_78,2012,pop05,9.94116635411046e-05
Pd_78,2012,pop06,0.581766486
Pd_78,2012,pop07,0.064730175
Pd_79,2011,pop01,9.91590859484859e-05
Pd_79,2011,pop02,9.91590859484859e-05
Pd_79,2011,pop03,0.565722704
Pd_79,2011,pop04,0.012314027
Pd_79,2011,pop05,0.000107856
Pd_79,2011,pop06,0.407553285
Pd_79,2011,pop07,0.014103903
Pd_82,2014,pop01,0.062969461
Pd_82,2014,pop02,0.000100156
Pd_82,2014,pop03,0.000100156
Pd_82,2014,pop04,0.000100156
Pd_82,2014,pop05,0.936529756
Pd_82,2014,pop06,0.000100156
Pd_82,2014,pop07,0.000100156
Pd_83,2013,pop01,0.000100402
Pd_83,2013,pop02,0.017937323
Pd_83,2013,pop03,0.000100402
Pd_83,2013,pop04,0.000100402
Pd_83,2013,pop05,0.975788713
Pd_83,2013,pop06,0.000103111
Pd_83,2013,pop07,0.00586964
Pd_84,2012,pop01,0.001096843
Pd_84,2012,pop02,0.016203271
Pd_84,2012,pop03,0.018928891
Pd_84,2012,pop04,0.009431281
Pd_84,2012,pop05,0.954140425
Pd_84,2012,pop06,9.96272792690434e-05
Pd_84,2012,pop07,9.96272792690434e-05
Pd_85,2012,pop01,9.85147635219619e-05
Pd_85,2012,pop02,0.006618481
Pd_85,2012,pop03,0.008981659
Pd_85,2012,pop04,0.014970065
Pd_85,2012,pop05,0.949781001
Pd_85,2012,pop06,0.01945179
Pd_85,2012,pop07,9.85147635219619e-05
