ind,continent,Pop,admix
Pd_53,N_America,pop6,0.000128484913147986
Pd_54,N_America,pop1,0.000128012412460521
Pd_54,N_America,pop2,0.000128012412460521
Pd_54,N_America,pop3,0.0045238439925015
Pd_54,N_America,pop4,0.994964063167572
Pd_54,N_America,pop5,0.000128012412460521
Pd_54,N_America,pop6,0.000128012412460521
Pd_55,N_America,pop1,0.000128203741041943
Pd_55,N_America,pop2,0.000128203741041943
Pd_55,N_America,pop3,0.00416755862534046
Pd_55,N_America,pop4,0.995319545269012
Pd_55,N_America,pop5,0.000128203741041943
Pd_55,N_America,pop6,0.000128203741041943
Pd_56,N_America,pop1,0.000127940744278021
Pd_56,N_America,pop2,0.000127940744278021
Pd_56,N_America,pop3,0.00452239345759153
Pd_56,N_America,pop4,0.994965791702271
Pd_56,N_America,pop5,0.000127940744278021
Pd_56,N_America,pop6,0.000127940744278021
Pd_57,N_America,pop1,0.000128158746520057
Pd_57,N_America,pop2,0.000128158746520057
Pd_57,N_America,pop3,0.0047109741717577
Pd_57,N_America,pop4,0.99477630853653
Pd_57,N_America,pop5,0.000128158746520057
Pd_57,N_America,pop6,0.000128158746520057
Pd_58,N_America,pop1,0.00012322272232268
Pd_58,N_America,pop2,0.00012322272232268
Pd_58,N_America,pop3,0.0318476818501949
Pd_58,N_America,pop4,0.967659413814545
Pd_58,N_America,pop5,0.00012322272232268
Pd_58,N_America,pop6,0.00012322272232268
Pd_59,N_America,pop1,0.000123332079965621
Pd_59,N_America,pop2,0.000123332079965621
Pd_59,N_America,pop3,0.0303765162825584
Pd_59,N_America,pop4,0.969130098819733
Pd_59,N_America,pop5,0.000123332079965621
Pd_59,N_America,pop6,0.000123332079965621
Pd_60,Europe,pop1,0.000104609571280889
Pd_60,Europe,pop2,0.000104609571280889
Pd_60,Europe,pop3,0.917984485626221
Pd_60,Europe,pop4,0.081597127020359
Pd_60,Europe,pop5,0.000104609571280889
Pd_60,Europe,pop6,0.000104609571280889
Pd_62,N_America,pop1,0.000127891660667956
Pd_62,N_America,pop2,0.000127891660667956
Pd_62,N_America,pop3,0.00541374366730452
Pd_62,N_America,pop4,0.994074642658234
